,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot
0,7,8,3,0,4,3,12,1999,0,98053,2280000,1258,28601
1,6,8,3,0,3,4,13,1910,1987,98102,7700000,1120,2565
2,5,5,2,1,2,3,11,1940,2001,98004,7060000,933,3469
3,6,8,2,0,4,3,13,2001,0,98039,6890000,919,2916
4,5,7,1,1,4,3,12,1983,2009,98040,4670000,896,1214
5,5,6,2,0,0,3,13,2001,0,98039,5570000,855,3259
6,5,7,2,0,4,3,13,1965,2003,98177,2890000,806,5951
7,5,7,2,0,0,3,11,2001,0,98006,3300000,745,2020
8,5,6,2,1,4,3,12,1999,0,98033,5110000,744,4230
9,5,5,2,0,4,3,12,2009,0,98004,5350000,743,2229
10,5,5,2,0,2,3,13,1996,0,98177,2420000,732,2254
11,4,4,2,0,0,3,12,2006,0,98027,2700000,730,8332
12,5,6,2,0,0,3,12,2004,0,98077,1920000,718,21456
13,8,4,4,0,0,5,12,1904,0,98112,3300000,717,1092
14,4,4,2,0,3,3,11,2005,0,98006,1680000,708,2745
15,7,7,2,0,2,3,11,1953,0,98166,800000,695,3872
16,5,6,2,0,0,3,12,2003,0,98006,4210000,691,2002
17,4,4,2,0,3,3,12,2002,0,98045,1950000,690,15601
18,5,6,2,0,3,3,13,2001,0,98006,2980000,688,1756
19,6,6,2,1,4,4,12,1991,0,98040,5300000,687,2308
20,5,4,2,0,4,3,11,2001,0,98065,1110000,683,1137
21,5,4,2,0,0,3,11,1992,0,98058,1140000,680,20242
22,5,7,2,0,0,3,12,2010,0,98027,2240000,676,12083
23,4,6,2,0,4,3,12,2000,0,98053,1940000,671,20768
24,5,6,2,0,4,3,12,2007,0,98006,900000,662,3792
25,6,5,3,0,0,3,13,1933,2002,98199,3200000,660,1691
26,4,6,2,0,0,3,12,2008,0,98039,4000000,658,1540
27,5,6,1,0,2,4,13,1978,0,98004,3800000,655,3981
28,4,4,1,1,4,4,12,1991,0,98075,3200000,651,2621
29,6,5,3,0,4,4,12,1999,0,98040,3100000,649,1457
30,4,6,1,0,0,4,11,1950,1991,98006,2530000,644,4191
31,6,5,2,0,0,4,9,2002,0,98077,1140000,641,22743
32,5,6,2,0,3,3,12,2007,0,98045,1490000,639,26019
33,2,2,3,1,4,3,11,2001,0,98008,3280000,636,929
34,5,4,3,0,0,3,13,1922,0,98102,2480000,633,697
35,5,4,2,0,0,3,12,2007,0,98004,3000000,620,1532
36,5,6,2,1,4,3,12,2004,0,98155,4500000,617,3719
37,4,5,2,0,0,3,12,1993,0,98077,1820000,617,4956
38,7,6,2,0,0,3,10,2004,0,98006,1240000,616,1281
39,6,4,2,0,0,3,10,2002,0,98005,1300000,610,3036
40,4,6,1,0,0,3,11,2006,0,98058,1500000,609,20202
41,4,6,2,0,2,3,11,2008,0,98014,1600000,607,80967
42,5,5,2,0,3,4,11,1980,0,98040,1900000,605,1531
43,4,6,2,0,0,3,11,2001,0,98039,2460000,604,1393
44,5,5,2,0,3,4,11,1991,0,98040,2000000,603,1009
45,4,3,2,0,0,3,12,2001,0,98004,4490000,598,2557
46,4,5,3,0,2,4,12,1906,0,98144,2730000,596,4074
47,3,4,1,0,2,4,10,1966,0,98177,1330000,595,7125
48,5,5,2,0,0,3,10,1940,0,98112,2470000,594,1225
49,4,5,2,0,0,3,12,2006,0,98029,1820000,593,8245
50,4,4,2,0,0,3,12,2008,0,98027,1800000,592,19108
51,4,4,2,0,2,3,13,2000,0,98033,2390000,588,1236
52,5,4,2,0,1,3,12,2004,0,98004,2750000,586,1493
53,6,7,2,0,0,3,11,2007,0,98075,1180000,582,1018
54,5,5,1,0,3,3,11,2003,0,98040,2950000,580,4413
55,7,5,3,0,2,5,11,1910,0,98109,3200000,577,823
56,5,5,3,0,1,4,11,1988,0,98040,1960000,576,2172
57,5,5,2,1,4,4,11,1989,0,98008,3300000,576,1289
58,6,6,2,0,0,3,11,2007,0,98074,1280000,572,2555
59,4,6,2,0,0,3,11,2005,0,98059,1320000,568,964
60,5,5,3,0,0,3,11,2000,0,98014,1610000,566,13264
61,5,5,2,0,0,3,12,1999,0,98024,1550000,564,15950
62,5,5,2,0,0,3,11,2004,0,98059,1570000,564,1369
63,4,5,1,0,3,4,12,1996,0,98006,1760000,563,2010
64,6,5,2,0,3,3,11,2001,0,98024,1600000,562,21436
65,4,4,3,0,2,3,9,2009,0,98077,930000,562,7894
66,6,5,2,0,0,3,11,1996,0,98029,1150000,561,20404
67,3,4,2,0,0,3,11,1991,0,98004,1830000,560,3654
68,4,4,2,0,0,3,11,2004,0,98053,1530000,557,10323
69,5,5,2,1,4,3,11,2002,0,98027,2200000,557,971
70,6,4,2,0,4,3,10,2005,0,98065,1140000,554,1877
71,5,4,2,0,2,3,10,1984,0,98008,1360000,554,1274
72,4,3,2,0,4,3,11,2004,0,98065,1150000,552,1072
73,5,4,2,0,2,3,11,1996,0,98027,1520000,551,1235
74,4,4,2,0,0,5,10,1907,0,98112,2400000,545,669
75,4,5,2,0,0,4,10,1996,0,98072,1160000,545,4915
76,6,5,2,0,3,3,10,2013,0,98006,1750000,545,1294
77,4,4,2,0,0,4,12,1990,0,98006,1530000,544,3259
78,5,4,2,0,2,4,11,1978,0,98004,1700000,544,2127
79,4,4,2,0,1,3,11,2007,0,98023,1280000,543,1001
80,5,5,2,0,0,3,12,2006,0,98029,2200000,543,1596
81,5,4,2,0,1,3,11,1988,0,98004,2200000,543,1083
82,4,4,2,0,0,3,11,2005,0,98024,1580000,542,12186
83,4,5,2,0,0,3,11,1993,0,98042,784500,541,1292
84,4,5,2,0,0,3,10,2004,0,98033,1880000,540,691
85,5,4,2,0,3,3,10,2014,0,98006,1240000,538,1276
86,5,4,2,0,3,3,10,2014,0,98006,1750000,538,1184
87,4,4,2,0,0,3,11,2008,0,98112,2890000,537,667
88,5,5,2,0,0,3,11,2006,0,98040,2320000,537,1580
89,5,5,1,0,2,3,11,1984,0,98003,740000,537,2944
90,4,5,2,1,4,4,11,1980,0,98040,3850000,536,1980
91,6,5,2,0,3,3,12,1998,0,98006,1680000,536,1556
92,4,5,1,0,3,5,9,1949,0,98115,1540000,536,934
93,4,3,2,0,4,4,12,1994,0,98177,2880000,535,2977
94,6,5,2,0,2,3,11,2000,0,98006,1380000,533,958
95,4,3,2,0,4,3,11,1991,0,98074,1230000,533,4177
96,6,5,2,0,0,3,10,2004,0,98006,1330000,532,949
97,4,5,2,0,0,3,11,2007,0,98092,930000,531,2292
98,6,3,1,0,4,4,10,1977,0,98006,1390000,530,1859
99,4,5,2,0,2,3,11,2008,0,98010,935000,527,7832
100,4,5,2,0,0,3,10,2001,0,98019,955000,526,17992
101,4,4,2,0,2,3,11,2015,0,98006,2000000,524,3253
102,4,4,2,0,3,3,10,2011,0,98003,950000,524,901
103,5,5,3,0,3,3,11,1999,0,98199,1570000,522,539
