,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot
0,7,8,3,0,4,3,12,1999,0,98053,2280000.0,1258.364312267658,28601.486988847584
1,6,8,2,0,3,4,13,1910,1987,98102,7700000.0,1119.8884758364313,2565.0557620817845
2,5,4,2,1,2,3,11,1940,2001,98004,7060000.0,933.085501858736,3468.8661710037177
3,6,7,2,0,4,3,13,2001,0,98039,6890000.0,919.1449814126394,2915.799256505576
4,5,6,1,1,4,3,12,1983,2009,98040,4670000.0,895.910780669145,1214.4981412639406
5,5,5,2,0,0,3,13,2001,0,98039,5570000.0,855.0185873605948,3259.200743494424
6,5,6,2,0,4,3,13,1965,2003,98177,2890000.0,805.7620817843866,5951.022304832714
7,5,6,2,0,0,3,11,2001,0,98006,3300000.0,745.3531598513011,2020.2602230483271
8,5,5,2,1,4,3,12,1999,0,98033,5110000.0,744.4237918215614,4230.204460966543
9,5,5,2,0,4,3,12,2009,0,98004,5350000.0,743.4944237918215,2229.089219330855
10,5,4,2,0,2,3,13,1996,0,98177,2420000.0,732.3420074349442,2253.717472118959
11,4,4,2,0,0,3,12,2006,0,98027,2700000.0,729.553903345725,8331.877323420074
12,5,5,2,0,0,3,12,2004,0,98077,1920000.0,718.4014869888476,21456.133828996284
13,8,4,3,0,0,5,12,1904,0,98112,3300000.0,716.542750929368,1092.007434944238
14,4,3,2,0,3,3,11,2005,0,98006,1680000.0,708.1784386617101,2744.9814126394053
15,7,6,2,0,2,3,11,1953,0,98166,800000.0,695.1672862453531,3872.118959107807
16,5,6,2,0,0,3,12,2003,0,98006,4210000.0,691.449814126394,2001.8587360594795
17,4,3,2,0,3,3,12,2002,0,98045,1950000.0,689.5910780669145,15601.208178438663
18,5,5,2,0,3,3,13,2001,0,98006,2980000.0,687.7323420074349,1756.3197026022306
19,6,6,2,1,4,4,12,1991,0,98040,5300000.0,686.8029739776952,2307.527881040892
20,5,3,2,0,4,3,11,2001,0,98065,1110000.0,683.085501858736,1136.7100371747213
21,5,4,2,0,0,3,11,1992,0,98058,1140000.0,680.2973977695167,20241.63568773234
22,5,6,2,0,0,3,12,2010,0,98027,2240000.0,675.6505576208178,12083.364312267659
23,4,5,2,0,4,3,12,2000,0,98053,1940000.0,671.003717472119,20767.843866171002
24,5,6,2,0,4,3,12,2007,0,98006,900000.0,661.7100371747212,3792.379182156134
25,6,5,2,0,0,3,13,1933,2002,98199,3200000.0,659.8513011152417,1691.4498141263941
26,4,5,2,0,0,3,12,2008,0,98039,4000000.0,657.992565055762,1540.2416356877325
27,5,5,1,0,2,4,13,1978,0,98004,3800000.0,655.2044609665428,3981.4126394052046
28,4,3,1,1,4,4,12,1991,0,98075,3200000.0,650.5576208178438,2621.375464684015
29,6,4,3,0,4,4,12,1999,0,98040,3100000.0,648.6988847583643,1457.4349442379182
30,4,5,1,0,0,4,11,1950,1991,98006,2530000.0,644.0520446096655,4191.449814126394
31,6,4,2,0,0,4,9,2002,0,98077,1140000.0,641.2639405204461,22743.122676579926
32,5,6,2,0,3,3,12,2007,0,98045,1490000.0,639.4052044609665,26019.330855018587
33,2,1,2,1,4,3,11,2001,0,98008,3280000.0,635.6877323420074,929.368029739777
34,5,3,2,0,0,3,13,1922,0,98102,2480000.0,632.8996282527881,697.0260223048327
35,5,4,2,0,0,3,12,2007,0,98004,3000000.0,619.8884758364312,1531.6914498141264
36,5,5,2,1,4,3,12,2004,0,98155,4500000.0,617.1003717472119,3718.7732342007434
37,4,4,2,0,0,3,12,1993,0,98077,1820000.0,617.1003717472119,4956.319702602231
38,7,5,2,0,0,3,10,2004,0,98006,1240000.0,616.1710037174721,1280.8550185873605
39,6,3,2,0,0,3,10,2002,0,98005,1300000.0,609.9442379182157,3036.245353159851
40,4,5,1,0,0,3,11,2006,0,98058,1500000.0,608.7360594795539,20202.044609665427
41,4,5,2,0,2,3,11,2008,0,98014,1600000.0,606.8773234200744,80966.54275092937
42,5,4,2,0,3,4,11,1980,0,98040,1900000.0,605.0185873605948,1530.7620817843867
43,4,5,2,0,0,3,11,2001,0,98039,2460000.0,604.089219330855,1392.7509293680298
44,5,4,2,0,3,4,11,1991,0,98040,2000000.0,603.1598513011153,1009.4795539033457
45,4,3,2,0,0,3,12,2001,0,98004,4490000.0,597.5836431226766,2557.342007434944
46,4,4,2,0,2,4,12,1906,0,98144,2730000.0,595.7249070631971,4074.163568773234
47,3,3,1,0,2,4,10,1966,0,98177,1330000.0,594.7955390334573,7125.0
48,5,4,2,0,0,3,10,1940,0,98112,2470000.0,593.8661710037175,1224.907063197026
49,4,4,2,0,0,3,12,2006,0,98029,1820000.0,592.9368029739777,8244.795539033457
50,4,3,2,0,0,3,12,2008,0,98027,1800000.0,592.007434944238,19108.085501858735
51,4,4,2,0,2,3,13,2000,0,98033,2390000.0,588.2899628252788,1235.6877323420074
52,5,4,2,0,1,3,12,2004,0,98004,2750000.0,585.5018587360595,1493.0297397769516
53,6,6,2,0,0,3,11,2007,0,98075,1180000.0,581.7843866171004,1018.1226765799257
54,5,4,1,0,3,3,11,2003,0,98040,2950000.0,579.9256505576209,4412.639405204461
55,7,4,2,0,2,5,11,1910,0,98109,3200000.0,577.1375464684015,823.0483271375465
