,sale_date,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot,m2_above,m2_basement,m2_living_2015,m2_lot_2015
0,05.05.14,7,8.0,3.0,0,4,3,12,1999,0,98053,2280000,1258,28601,875,384,451,20242
1,13.10.14,6,8.0,3.0,0,3,4,13,1910,1987,98102,7700000,1120,2565,796,323,366,818
2,11.06.14,5,5.0,2.0,1,2,3,11,1940,2001,98004,7060000,933,3469,714,219,365,2365
3,19.09.14,6,8.0,2.0,0,4,3,13,2001,0,98039,6890000,919,2916,823,96,422,3971
4,17.06.14,5,7.0,1.0,1,4,3,12,1983,2009,98040,4670000,896,1214,448,448,304,972
5,04.08.14,5,6.0,2.0,0,0,3,13,2001,0,98039,5570000,855,3259,576,279,331,2263
6,11.06.14,5,7.0,2.0,0,4,3,13,1965,2003,98177,2890000,806,5951,569,237,385,7530
7,02.07.14,5,7.0,2.0,0,0,3,11,2001,0,98006,3300000,745,2020,745,0,387,1763
8,20.10.14,5,6.0,2.0,1,4,3,12,1999,0,98033,5110000,744,4230,557,188,319,2490
9,13.04.15,5,5.0,2.0,0,4,3,12,2009,0,98004,5350000,743,2229,625,119,428,2021
10,30.01.15,5,5.0,2.0,0,2,3,13,1996,0,98177,2420000,732,2254,732,0,255,1000
11,22.01.15,4,4.0,2.0,0,0,3,12,2006,0,98027,2700000,730,8332,730,0,577,8906
12,30.01.15,5,6.0,2.0,0,0,3,12,2004,0,98077,1920000,718,21456,619,99,247,3652
13,20.10.14,8,4.0,4.0,0,0,5,12,1904,0,98112,3300000,717,1092,566,151,391,774
14,25.11.14,4,4.0,2.0,0,3,3,11,2005,0,98006,1680000,708,2745,556,152,264,1934
15,07.10.14,7,7.0,2.0,0,2,3,11,1953,0,98166,800000,695,3872,472,223,261,3085
16,06.05.15,5,6.0,2.0,0,0,3,12,2003,0,98006,4210000,691,2002,516,176,441,1796
17,12.01.15,4,4.0,2.0,0,3,3,12,2002,0,98045,1950000,690,15601,690,0,521,15757
18,12.12.14,5,6.0,2.0,0,3,3,13,2001,0,98006,2980000,688,1756,585,103,568,2457
19,13.04.15,6,6.0,2.0,1,4,4,12,1991,0,98040,5300000,687,2308,465,222,401,2288
20,30.07.14,5,4.0,2.0,0,4,3,11,2001,0,98065,1110000,683,1137,441,242,500,1170
21,08.07.14,5,4.0,2.0,0,0,3,11,1992,0,98058,1140000,680,20242,680,0,304,3206
