,county_zipcode,county_name,county_population
0,98001,Auburn,31911
1,98002,Auburn,31647
2,98003,Federal Way,44151
3,98004,Bellevue,27946
4,98005,Bellevue,17714
5,98006,Bellevue,36364
6,98007,Bellevue,24889
7,98008,Bellevue,24411
8,98010,Black Diamond,5025
9,98011,Bothell,29212
10,98014,Carnation,6765
11,98019,Duvall,10725
12,98022,Enumclaw,20987
13,98023,Federal Way,47510
14,98024,Fall City,5650
15,98027,Issaquah,26141
16,98028,Kenmore,20419
17,98029,Issaquah,24348
18,98030,Kent,33769
19,98031,Kent,36581
20,98032,Kent,33853
21,98033,Kirkland,34338
22,98034,Kirkland,40407
23,98038,Maple Valley,31171
24,98039,Medina,2971
25,98040,Mercer Island,22699
26,98042,Kent,43673
27,98045,North Bend,13888
28,98047,Pacific,6339
29,98051,Ravensdale,3270
30,98052,Redmond,58442
31,98053,Redmond,18784
32,98055,Renton,21904
33,98056,Renton,32489
34,98057,Renton,10613
35,98058,Renton,41938
36,98059,Renton,34463
37,98065,Snoqualmie,12699
38,98070,Vashon,10624
39,98072,Woodinville,22312
40,98074,Sammamish,25748
41,98075,Sammamish,20715
42,98077,Woodinville,13585
43,98092,Auburn,39816
44,98101,Seattle,10238
45,98102,Seattle,20756
46,98103,Seattle,45911
47,98103,Seattle,13095
48,98105,Seattle,43924
49,98106,Seattle,22873
50,98107,Seattle,21147
51,98108,Seattle,22374
52,98109,Seattle,20715
53,98112,Seattle,21077
54,98115,Seattle,46206
55,98116,Seattle,22241
56,98117,Seattle,31365
57,98118,Seattle,42731
58,98119,Seattle,21039
59,98121,Seattle,12628
60,98122,Seattle,31454
63,98133,Seattle,44555
64,98134,Seattle,644
65,98136,Seattle,14770
66,98144,Seattle,26881
67,98146,Seattle,25922
68,98148,Seattle,10010
70,98155,Seattle,32778
73,98164,Seattle,141
74,98166,Seattle,20301
75,98168,Seattle,33734
77,98177,Seattle,19030
78,98178,Seattle,24092
79,98188,Seattle,23111
81,98198,Seattle,34584
82,98199,Seattle,19686
83,98224,Baring,294
84,98251,Gold Bar,4567
85,98288,Skykomish,333
86,98321,Buckley,15152
87,98354,Milton,6976
88,98826,Leavenworth,6504
89,98922,Cle Elum,5468
96,98050,Preston,322
